crc32,name,filename,size,type,load_type,status,notes
239D78B7,Allemand,Allemand (Sich Vorstellen) (1985) (FIL).k7,40475,k7,LOAD,not_tested,
8208C043,Amperemetre,Amperemetre (198x) (CNDP).k7,12896,k7,LOAD,not_tested,
E43F1253,Androides,Androides (1985) (Infogrames) [b1].k7,17705,k7,LOADM,not_tested,
A220159A,Androides,Androides (1985) (Infogrames) [b2].k7,23506,k7,unknown,not_tested,
E0163B6D,Androides,Androides (1985) (Infogrames).k7,18255,k7,LOADM,not_tested,
B81C7F1D,Anglais,Anglais (1984) (Vifi-Nathan).k7,192047,k7,LOAD,not_tested,
3FF35D7D,"Angles, Les","Angles, Les (1985) (Vifi-Nathan Ecoles).k7",21148,k7,unknown,not_tested,
A5ED9F3E,Animaux,Animaux (1985) (Infogrames).k7,3980,k7,LOAD,not_tested,
78DB2FE3,Araignees by Microtom,Araignees by Microtom (1985) (PD).k7,5702,k7,LOAD,not_tested,
DBB3683E,Arkanoid,Arkanoid (1987) (FIL) [t1].k7,28975,k7,LOAD,not_tested,
18C86289,Arkanoid,Arkanoid (1987) (FIL).k7,28385,k7,LOAD,not_tested,
069D4255,Ascens,Ascens (1985) (Collectif d'Idee Irem).k7,22793,k7,LOAD,not_tested,
916D74DE,Asterix et la Potion Magique,Asterix et la Potion Magique (198x) (Vifi-Nathan).k7,45106,k7,LOAD,not_tested,
0F4DFB0F,Asteroides,Asteroides (198x) (PD).k7,1305,k7,LOAD,not_tested,
741B3C57,Astromus,Astromus (1984) (Logimus) [a1].k7,24768,k7,unknown,not_tested,
BF8A905A,Astromus,Astromus (1984) (Logimus).k7,24649,k7,unknown,not_tested,
715FE631,Atomik,Atomik (1987) (FIL).k7,31457,k7,LOAD,not_tested,
30515B15,Auto-initiation au BASIC MO5,Auto-initiation au BASIC MO5 (1984) (Cedic-Nathan).k7,165822,k7,LOAD,not_tested,
4187026A,Avenger,Avenger (1986) (FIL).k7,51067,k7,LOAD,not_tested,
8DC00333,Backgammon,Backgammon (1984) (Vifi-Nathan).k7,17693,k7,LOAD,not_tested,
1E30D915,Baladins,Baladins (198x) (CNDP) (PD).k7,11390,k7,LOAD,not_tested,
9862F766,Baladins,Baladins (198x) (CNDP).k7,13825,k7,LOAD,not_tested,
EB8D52EF,Balthazar,Balthazar (1987) (Titus).k7,43445,k7,LOAD,not_tested,
B2527306,Banque,Banque (198x) (PD) [b1].k7,2948,k7,LOAD,not_tested,
8085D757,Barry McGuigan Championship Boxing,Barry McGuigan Championship Boxing (198x) (Microids).k7,35419,k7,LOAD,not_tested,
C2C11B9D,basic5,basic5.rom,12288,cartridge,cartridge,not_tested,
934A72B2,basic5e,basic5e.rom,12288,cartridge,cartridge,not_tested,
9A1A11E0,Beachhead,Beachhead (1985) (Access Software).k7,27830,k7,LOAD,not_tested,
FFCF0830,Black Bart,Black Bart (198x) (PD).k7,3325,k7,LOAD,not_tested,
9725C110,Blitz,Blitz (1985) (To Tek) (Cart).mo5,16384,cartridge,cartridge,not_tested,
148C5DFC,Blitzkrieg,Blitzkrieg (198x) (Francis Mallard).k7,13372,k7,LOAD,not_tested,
CB84E6FA,Bomber,Bomber (1986) (Hebdogiciel) (PD).k7,8391,k7,LOAD,not_tested,
7C9A0275,Bowling Fou by Bruno Laurence,Bowling Fou by Bruno Laurence (1985) (PD).k7,14379,k7,LOAD,not_tested,
FADB00D9,Buds 1 2 3,Buds 1 2 3 (1984) (To Tek).k7,20544,k7,unknown,not_tested,
B5201026,Business by Daniel Coulom,Business by Daniel Coulom (198x) (PD) [a1].k7,23433,k7,LOAD,not_tested,
CB0BB731,Business by Daniel Coulom,Business by Daniel Coulom (198x) (PD).k7,23086,k7,LOAD,not_tested,
032AEB7C,Calcul Algebrique,Calcul Algebrique (1985) (Edumicro).k7,21412,k7,unknown,not_tested,
AE9AB28C,Calcul Mental,Calcul Mental (1984) (CNDP).k7,13168,k7,LOAD,not_tested,
94F6A28A,Cap Horn,Cap Horn (1986) (Coktel Vision).k7,23932,k7,LOAD,not_tested,
E244996E,Cap sur Dakar,Cap sur Dakar (1985) (Coktel Vision).k7,44826,k7,LOAD,not_tested,
E1BD12DA,Carre Magique,Carre Magique (1984) (CNDP).k7,6766,k7,LOAD,not_tested,
E08F3298,Carre Magique,Carre Magique (1984) (Nathan Ecoles) [a1].k7,16078,k7,LOAD,not_tested,
70F9326D,Carre Magique,Carre Magique (1984) (Nathan Ecoles).k7,16092,k7,LOAD,not_tested,
A279D8EF,Cartciel,Cartciel (1984) (Answare).k7,29208,k7,LOAD,not_tested,
F7FFFE82,"Carte de France, La","Carte de France, La (1983) (Vifi-Nathan).k7",34179,k7,LOAD,not_tested,
465C1413,"Cartes du Temps, Les","Cartes du Temps, Les (198x) (Les Vagabonds du Temps) (PD).k7",6269,k7,LOAD,not_tested,
707A1FDC,Cassebrique,Cassebrique (1986) (Christophe Vaillant) (PD).k7,8762,k7,LOAD,not_tested,
3B9FB1B0,Catalog,Catalog (198x) (PD).k7,2213,k7,unknown,not_tested,
2619447A,Chardata,Chardata (198x) (PD).k7,899,k7,LOAD,not_tested,
BD94BD4B,"Chateau des Sphinx, Le","Chateau des Sphinx, Le (198x) (PD).k7",3778,k7,LOAD,not_tested,
9B7D8E91,Chateau Noir et Dragon Rouge,Chateau Noir et Dragon Rouge (1985) (Vifi-Nathan).k7,32232,k7,LOAD,not_tested,
92E1FFFD,Chenille,Chenille (198x) (PD).k7,1970,k7,LOAD,not_tested,
7F29764D,"Chiffres et les Lettres, Les","Chiffres et les Lettres, Les (198x) (Vifi-Nathan) [b1].k7",10647,k7,LOADM,not_tested,
7D6246A0,Cible,Cible (1984) (CNDP).k7,10287,k7,LOAD,not_tested,
599CFD41,Cocotte,Cocotte (1985) (FIL).k7,16168,k7,LOAD,not_tested,
54C3738A,Coliseum,Coliseum (1985) (Loriciels) [b1].k7,50289,k7,LOAD,not_tested,
16142072,Coliseum,Coliseum (1985) (Loriciels).k7,51399,k7,LOAD,not_tested,
4DBCCD60,Colocalc,Colocalc (1985) (FIL) (Cart).mo5,49152,cartridge,cartridge,not_tested,
E239E303,"Compte est rond, Le","Compte est rond, Le (1984) (Hatier).k7",17467,k7,LOAD,not_tested,
27633EA3,Concordance des Temps,Concordance des Temps (198x) (CNDP) [a1].k7,2654,k7,LOAD,not_tested,
F50EF163,Concordance des Temps,Concordance des Temps (198x) (CNDP).k7,2654,k7,LOAD,not_tested,
DFC92E55,Concours d'algebre,Concours d'algebre (198x) (C & D Missenard).k7,20757,k7,LOAD,not_tested,
E5C01E63,Concours d'geometrie,Concours d'geometrie (198x).k7,22661,k7,LOAD,not_tested,
E2C998EB,Conte,Conte (1985) (Alain Lambert) (PD) [a1].k7,1271,k7,LOAD,not_tested,
FC76D616,Conte,Conte (1985) (Alain Lambert) (PD) [h1].k7,26766,k7,unknown,not_tested,
46675110,Conte,Conte (1985) (Alain Lambert) (PD).k7,26311,k7,LOAD,not_tested,
B0D132CF,Conversion Images,Conversion Images (198x) (Edouard Foller).k7,1332,k7,LOAD,not_tested,
B18D4C14,Copie de Fichier Data,Copie de Fichier Data (198x) (PD).k7,1987,k7,LOAD,not_tested,
3836A66E,Coq inn,Coq inn (1984) (Vifi-Nathan).k7,51550,k7,LOAD,not_tested,
D55FEAED,"Corps Humain, Le","Corps Humain, Le (1985) (Infogrames).k7",64831,k7,LOAD,not_tested,
9426EF51,"Course aux Lettres, La","Course aux Lettres, La (198x) (Loriciels).k7",15062,k7,unknown,not_tested,
BE0CA07F,Creadata,Creadata (198x) (PD).k7,1438,k7,LOAD,not_tested,
E9676D11,Crocky 2,Crocky 2 (1984) (Loriciels) [a1].k7,18625,k7,LOAD,not_tested,
DAC3535E,Crocky 2,Crocky 2 (1984) (Loriciels).k7,17362,k7,LOAD,not_tested,
52EF42C8,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 1 of 4) [a1].k7",50866,k7,LOAD,not_tested,
AE6FA16E,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 1 of 4).k7",50882,k7,unknown,not_tested,
BE1A3C31,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 2 of 4) [a1].k7",21058,k7,LOAD,not_tested,
AAD9A46A,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 2 of 4).k7",21066,k7,unknown,not_tested,
4C401066,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 3 of 4) [a1].k7",46863,k7,LOAD,not_tested,
24735CFE,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 3 of 4).k7",46876,k7,LOAD,not_tested,
616BC82D,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 4 of 4) [a1].k7",22480,k7,LOAD,not_tested,
404F0B36,"Cube Basique, Le","Cube Basique, Le (1984) (Infogrames) (Part 4 of 4).k7",22492,k7,LOAD,not_tested,
165464F6,Cyprien dans la Course aux Lettres,Cyprien dans la Course aux Lettres (1984) (Loriciels).k7,12829,k7,LOAD,not_tested,
63CB7ECF,Dakar 4x4,Dakar 4x4 (1986) (Coktel Vision).k7,29592,k7,LOAD,not_tested,
2359B8A1,Defi,Defi (1984) (CNDP).k7,6367,k7,LOAD,not_tested,
477D97F3,Delos Attack,Delos Attack (1989) (Christopher Lesur).k7,7383,k7,LOAD,not_tested,
